Number,Source file id,Category code,Category,Funtional Category,Demographic category,Situational category,Name,Source file category,Headquarters city,Registration date,registration office,Country,Address,Latitude,Longitude,Geolocation verification
44,PR-OGSIFLUC-2008012024-44,,,,,,"Academia Santa Teresita de Naranjito, Inc.",Educación,Naranjito,1964-03-12,Departamento de Hacienda,Puerto Rico,"Academia Santa Teresita de Naranjito, Inc. Naranjito Puerto Rico",18.2547662,-66.263686,1
45,PR-OGSIFLUC-2008012024-45,,,,,,Acción Comunitaria del Viví Inc.,Bienestar Social,Utuado,2015-10-07,Departamento de Hacienda,Puerto Rico,Acción Comunitaria del Viví Inc. Utuado Puerto Rico,18.266139,-66.703319,1
46,PR-OGSIFLUC-2008012024-46,,,,,,"Acción Laboral Unitaria y Defensora, Incorporado",Asuntos Legales,Carolina,1993-05-06,Departamento de Hacienda,Puerto Rico,"Acción Laboral Unitaria y Defensora, Incorporado Carolina Puerto Rico",18.3736316,-65.9630925,1
47,PR-OGSIFLUC-2008012024-47,,,,,,Acción por la Equidad en la Diversidad Inc.,Asuntos Legales,San Juan,2004-02-02,Departamento de Hacienda,Puerto Rico,Acción por la Equidad en la Diversidad Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
48,PR-OGSIFLUC-2008012024-48,,,,,,"Acción Social de Puerto Rico, Inc.",Bienestar Social,Adjuntas,1982-06-24,Departamento de Hacienda,Puerto Rico,"Acción Social de Puerto Rico, Inc. Adjuntas Puerto Rico",18.3919005,-66.1058655,1
49,PR-OGSIFLUC-2008012024-49,,,,,,Acción Social Égida Los Cantares Inc.,Bienestar Social,Bayamón,1979-05-09,Departamento de Hacienda,Puerto Rico,Acción Social Égida Los Cantares Inc. Bayamón Puerto Rico,18.4022871,-66.1877004,1
50,PR-OGSIFLUC-2008012024-50,,,,,,"Acrópolis, Hogar para Envejecientes, Inc.",Bienestar Social,San German,2003-06-04,Departamento de Hacienda,Puerto Rico,"Acrópolis, Hogar para Envejecientes, Inc. San German Puerto Rico",18.0775577,-67.0254488,1
51,PR-OGSIFLUC-2008012024-51,,,,,,"Actividad Santos Inocentes, Inc.",Arte y Cultura,Isabela,1988-02-23,Departamento de Hacienda,Puerto Rico,"Actividad Santos Inocentes, Inc. Isabela Puerto Rico",18.4703856,-67.0242062,1
52,PR-OGSIFLUC-2008012024-52,,,,,,Actuando por los Animales Corp.,Bienestar Social,San Juan,2007-04-12,Departamento de Hacienda,Puerto Rico,Actuando por los Animales Corp. San Juan Puerto Rico,18.4655394,-66.1057355,1
53,PR-OGSIFLUC-2008012024-53,,,,,,"Acueducto Comunal Barrancas Centro, Inc.",Bienestar Social,Barranquitas,2004-04-06,Departamento de Hacienda,Puerto Rico,"Acueducto Comunal Barrancas Centro, Inc. Barranquitas Puerto Rico",18.2235672,-66.3135025,1
54,PR-OGSIFLUC-2008012024-54,,,,,,"Acueducto Comunal Quebrada Arriba, Incorporado",Bienestar Social,Patillas,1992-03-04,Departamento de Hacienda,Puerto Rico,"Acueducto Comunal Quebrada Arriba, Incorporado Patillas Puerto Rico",18.0503416,-66.076093,1
55,PR-OGSIFLUC-2008012024-55,,,,,,Acueducto Comunidad La Tiza I Corp.,Bienestar Social,Barranquitas,2016-09-19,Departamento de Hacienda,Puerto Rico,Acueducto Comunidad La Tiza I Corp. Barranquitas Puerto Rico,18.1811757,-66.2944882,1
56,PR-OGSIFLUC-2008012024-56,,,,,,Acueducto Rural Casa de Piedra Inc.,Bienestar Social,Caguas,2008-07-11,Departamento de Hacienda,Puerto Rico,Acueducto Rural Casa de Piedra Inc. Caguas Puerto Rico,18.2387995,-66.035249,1
57,PR-OGSIFLUC-2008012024-57,,,,,,"Acueducto Rural El Manantial, Inc.",Bienestar Social,Caguas,1991-07-23,Departamento de Hacienda,Puerto Rico,"Acueducto Rural El Manantial, Inc. Caguas Puerto Rico",18.2387995,-66.035249,1
58,PR-OGSIFLUC-2008012024-58,,,,,,Acueducto Rural Jacanas Piedra Blanca Incorporado,Bienestar Social,Yabucoa,1987-09-28,Departamento de Hacienda,Puerto Rico,Acueducto Rural Jacanas Piedra Blanca Incorporado Yabucoa Puerto Rico,18.0966381,-65.9076235,1
59,PR-OGSIFLUC-2008012024-59,,,,,,"Acueductos Barrio Guayabota, Yabucoa, Inc.",Bienestar Social,Yabucoa,1986-12-04,Departamento de Hacienda,Puerto Rico,"Acueductos Barrio Guayabota, Yabucoa, Inc. Yabucoa Puerto Rico",18.0695562,-65.9690392,1
60,PR-OGSIFLUC-2008012024-60,,,,,,Adamah Corp.,Ambiente,San Juan,2011-08-25,Departamento de Hacienda,Puerto Rico,Adamah Corp. San Juan Puerto Rico,18.4655394,-66.1057355,1
61,PR-OGSIFLUC-2008012024-61,,,,,,Advanced Bilingual School Corp.,Educación,Aguadilla,2000-09-07,Departamento de Hacienda,Puerto Rico,Advanced Bilingual School Corp. Aguadilla Puerto Rico,18.5017869,-67.1022035,1
62,PR-OGSIFLUC-2008012024-62,,,,,,Agencia Misionera Proyecto Macedonia Internacional,Bienestar Social,Trujillo Alto,2002-05-15,Departamento de Hacienda,Puerto Rico,Agencia Misionera Proyecto Macedonia Internacional Trujillo Alto Puerto Rico,18.3563169,-66.0033838,1
63,PR-OGSIFLUC-2008012024-63,,,,,,"Agradezco, Inc.",Educación,San Juan,1996-03-27,Departamento de Hacienda,Puerto Rico,"Agradezco, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
64,PR-OGSIFLUC-2008012024-64,,,,,,"AIESEC Puerto Rico, Inc.",Educación,San Juan,2009-03-25,Departamento de Hacienda,Puerto Rico,"AIESEC Puerto Rico, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
65,PR-OGSIFLUC-2008012024-65,,,,,,Albacana Inc.,Arte y Cultura,Caguas,1997-07-16,Departamento de Hacienda,Puerto Rico,Albacana Inc. Caguas Puerto Rico,18.2387995,-66.035249,1
66,PR-OGSIFLUC-2008012024-66,,,,,,Albergue El Paraíso Corp.,Bienestar Social,San Juan,2016-06-07,Departamento de Hacienda,Puerto Rico,Albergue El Paraíso Corp. San Juan Puerto Rico,18.451019,-66.0794902,1
67,PR-OGSIFLUC-2008012024-67,,,,,,"Albergue La Providencia para el Bienestar Social, Inc.",Bienestar Social,Ponce,2008-12-22,Departamento de Hacienda,Puerto Rico,"Albergue La Providencia para el Bienestar Social, Inc. Ponce Puerto Rico",18.0124216,-66.6431415,1
68,PR-OGSIFLUC-2008012024-68,,,,,,"Alcanzando El Exito/Reach for Success, Inc.",Bienestar Social,Vieques,2006-09-16,Departamento de Hacienda,Puerto Rico,"Alcanzando El Exito/Reach for Success, Inc. Vieques Puerto Rico",18.1262854,-65.4400985,1
69,PR-OGSIFLUC-2008012024-69,,,,,,"Alegres Parranderos, Inc.",Arte y Cultura,Caguas,2016-05-17,,Puerto Rico,"Alegres Parranderos, Inc. Caguas Puerto Rico",18.2387995,-66.035249,1
70,PR-OGSIFLUC-2008012024-70,,,,,,Alfonsina Inc.,Arte y Cultura,San Juan,2019-01-24,Departamento de Hacienda,Puerto Rico,Alfonsina Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
71,PR-OGSIFLUC-2008012024-71,,,,,,"Alianza Comunitaria de la Montaña, Inc.",Bienestar Social,Yauco,2009-06-05,Departamento de Hacienda,Puerto Rico,"Alianza Comunitaria de la Montaña, Inc. Yauco Puerto Rico",18.034964,-66.8498983,1
72,PR-OGSIFLUC-2008012024-72,,,,,,"Alianza de Líderes Rincoeños, Inc.",Economía y Finanzas,San Juan,2011-03-20,Departamento de Hacienda,Puerto Rico,"Alianza de Líderes Rincoeños, Inc. San Juan Puerto Rico",18.3375394,-67.2499967,1
73,PR-OGSIFLUC-2008012024-73,,,,,,"Alianza de Puerto Rico Contra la Trata Humana, Inc.",Bienestar Social,San Juan,2012-06-27,Departamento de Hacienda,Puerto Rico,"Alianza de Puerto Rico Contra la Trata Humana, Inc. San Juan Puerto Rico",18.36926,-66.040781,1
74,PR-OGSIFLUC-2008012024-74,,,,,,"Alianza Municipal de Servicios Integrados, Inc.",Economía y Finanzas,Caguas,2006-03-07,Departamento de Hacienda,Puerto Rico,"Alianza Municipal de Servicios Integrados, Inc. Caguas Puerto Rico",18.2189175,-66.0403295,1
75,PR-OGSIFLUC-2008012024-75,,,,,,"Alianza para la Educación Alternativa, Inc.",Educación,San Juan,2009-07-13,Departamento de Hacienda,Puerto Rico,"Alianza para la Educación Alternativa, Inc. San Juan Puerto Rico",18.3932536,-65.9816893,1
76,PR-OGSIFLUC-2008012024-76,,,,,,"Alianza para un Puerto Rico sin Drogas, Inc.",Bienestar Social,San Juan,1993-04-29,Departamento de Hacienda,Puerto Rico,"Alianza para un Puerto Rico sin Drogas, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
77,PR-OGSIFLUC-2008012024-77,,,,,,"Alianza Pro Rescate de Animales, Inc.",Bienestar Social,Guaynabo,2012-02-01,,Puerto Rico,"Alianza Pro Rescate de Animales, Inc. Guaynabo Puerto Rico",18.3615548,-66.1110682,1
78,PR-OGSIFLUC-2008012024-78,,,,,,Alimenta Mis Ovejas Inc.,Bienestar Social,Utuado,1970-01-01,,Puerto Rico,Alimenta Mis Ovejas Inc. Utuado Puerto Rico,18.2655095,-66.7004519,1
79,PR-OGSIFLUC-2008012024-79,,,,,,"All Satos Rescue, Inc.",Bienestar Social,San Juan,2008-10-23,,Puerto Rico,"All Satos Rescue, Inc. San Juan Puerto Rico",18.417017,-66.0307671,1
80,PR-OGSIFLUC-2008012024-80,,,,,,Alliance for the New Humanity Inc.,Bienestar Social,San Juan,2003-05-05,Departamento de Hacienda,Puerto Rico,Alliance for the New Humanity Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
81,PR-OGSIFLUC-2008012024-81,,,,,,"Alquimia, Corp.",Arte y Cultura,Caguas,2003-03-11,Departamento de Hacienda,Puerto Rico,"Alquimia, Corp. Caguas Puerto Rico",18.2387995,-66.035249,1
82,PR-OGSIFLUC-2008012024-82,,,,,,"Alternavida, Inc.",Educación,Quebradillas,2013-03-12,Departamento de Hacienda,Puerto Rico,"Alternavida, Inc. Quebradillas Puerto Rico",18.3781179,-65.7651216,1
83,PR-OGSIFLUC-2008012024-83,,,,,,"Altrusa Internacional de San Sebastián, PR Inc.",Economía y Finanzas,Caguas,1983-06-13,Departamento de Hacienda,Puerto Rico,"Altrusa Internacional de San Sebastián, PR Inc. Caguas Puerto Rico",18.3354756,-66.9946787,1
84,PR-OGSIFLUC-2008012024-84,,,,,,Altrusa International Distrito Catorce Inc.,Bienestar Social,San Juan,1999-04-23,Departamento de Hacienda,Puerto Rico,Altrusa International Distrito Catorce Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
85,PR-OGSIFLUC-2008012024-85,,,,,,"Amanece para los Hermanos Sin Techo, Inc.",Bienestar Social,San Juan,2004-04-26,Departamento de Hacienda,Puerto Rico,"Amanece para los Hermanos Sin Techo, Inc. San Juan Puerto Rico",18.3974938,-66.0284892,1
86,PR-OGSIFLUC-2008012024-86,,,,,,American Cello Institute Inc.,Arte y Cultura,San Juan,2015-08-14,"Departamento de Hacienda, IRS",Puerto Rico,American Cello Institute Inc. San Juan Puerto Rico,18.4692861,-66.1172283,1
87,PR-OGSIFLUC-2008012024-87,,,,,,"American Civil Liberties Union Foundation, Inc.",Asuntos Legales,San Juan,2013-04-18,Departamento de Hacienda,Puerto Rico,"American Civil Liberties Union Foundation, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
88,PR-OGSIFLUC-2008012024-88,,,,,,"American Developing Smiles de PR, Inc.",Bienestar Social,San Juan,2007-10-29,Departamento de Hacienda,Puerto Rico,"American Developing Smiles de PR, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
89,PR-OGSIFLUC-2008012024-89,,,,,,"American Lebanese Syrian Associated Charities, Inc.",Bienestar Social,San Juan,2003-10-23,,Puerto Rico,"American Lebanese Syrian Associated Charities, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
90,PR-OGSIFLUC-2008012024-90,,,,,,"Amigos de la Banda: Patrimonio Musical Ponceño, Inc.",Arte y Cultura,Ponce,2008-02-21,Departamento de Hacienda,Puerto Rico,"Amigos de la Banda: Patrimonio Musical Ponceño, Inc. Ponce Puerto Rico",18.0431862,-66.574788,1
91,PR-OGSIFLUC-2008012024-91,,,,,,"Amigos de la Escuela de Derecho - UPR, Inc.",Educación,San Juan,2008-06-19,Departamento de Hacienda,Puerto Rico,"Amigos de la Escuela de Derecho - UPR, Inc. San Juan Puerto Rico",18.4069413,-66.047382,1
92,PR-OGSIFLUC-2008012024-92,,,,,,Amigos de las Tortugas Marinas (ATMAR INC.),Ambiente,Maunabo,2011-08-17,Departamento de Hacienda,Puerto Rico,Amigos de las Tortugas Marinas (ATMAR INC.) Maunabo Puerto Rico,18.0024479,-65.8764482,1
93,PR-OGSIFLUC-2008012024-93,,,,,,"Amigos de los Animales, Inc.",Bienestar Social,San Juan,2005-02-15,"Departamento de Hacienda, IRS",Puerto Rico,"Amigos de los Animales, Inc. San Juan Puerto Rico",18.4515508,-65.99554,1
94,PR-OGSIFLUC-2008012024-94,,,,,,Amigos de Tres Palmas Inc.,Ambiente,Maunabo,2011-03-31,Departamento de Hacienda,Puerto Rico,Amigos de Tres Palmas Inc. Maunabo Puerto Rico,18.0071885,-65.8993289,1
95,PR-OGSIFLUC-2008012024-95,,,,,,"Amnistía Internacional Sección de Puerto Rico, Inc.",Bienestar Social,San Juan,1990-11-30,,Puerto Rico,"Amnistía Internacional Sección de Puerto Rico, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
96,PR-OGSIFLUC-2008012024-96,,,,,,Angel de la Guarda Inc.,Educación,San Sebastian,1999-10-11,Departamento de Hacienda,Puerto Rico,Angel de la Guarda Inc. San Sebastian Puerto Rico,18.3562544,-67.0341496,1
97,PR-OGSIFLUC-2008012024-97,,,,,,"Anilom, Inc.",Arte y Cultura,Utuado,2004-09-02,Departamento de Hacienda,Puerto Rico,"Anilom, Inc. Utuado Puerto Rico",18.2655095,-66.7004519,1
98,PR-OGSIFLUC-2008012024-98,,,,,,Animal Rescue and Protection Services Inc.,Bienestar Social,Ponce,2009-05-05,Departamento de Hacienda,Puerto Rico,Animal Rescue and Protection Services Inc. Ponce Puerto Rico,18.005839,-66.648415,1
99,PR-OGSIFLUC-2008012024-99,,,,,,"Ann Wigmore Institute, Inc.",Bienestar Social,Rincón,1990-04-10,Departamento de Hacienda,Puerto Rico,"Ann Wigmore Institute, Inc. Rincón Puerto Rico",18.380287,-67.21965,1
100,PR-OGSIFLUC-2008012024-100,,,,,,ANNA Caribbean Chapter 210 Corp.,Educación,San Juan,2010-08-09,Departamento de Hacienda,Puerto Rico,ANNA Caribbean Chapter 210 Corp. San Juan Puerto Rico,18.4655394,-66.1057355,1
101,PR-OGSIFLUC-2008012024-101,,,,,,"Antilles Military Academy, Inc.",Educación,San Juan,1959-08-20,Departamento de Hacienda,Puerto Rico,"Antilles Military Academy, Inc. San Juan Puerto Rico",18.3641693,-66.0186491,1
102,PR-OGSIFLUC-2008012024-102,,,,,,"Apoyo Empresarial para la Península de Cantera, Inc.",Economía y Finanzas,San Juan,1992-04-03,,Puerto Rico,"Apoyo Empresarial para la Península de Cantera, Inc. San Juan Puerto Rico",18.4322377,-66.0352945,1
103,PR-OGSIFLUC-2008012024-103,,,,,,APRODEC Inc.,Bienestar Social,Ceiba,2003-10-21,Departamento de Hacienda,Puerto Rico,APRODEC Inc. Ceiba Puerto Rico,18.2435807,-65.6539717,1
104,PR-OGSIFLUC-2008012024-104,,,,,,"Aqueofilms, Corporation",Arte y Cultura,Naguabo,2004-09-02,Departamento de Hacienda,Puerto Rico,"Aqueofilms, Corporation Naguabo Puerto Rico",18.2116247,-65.7348841,1
105,PR-OGSIFLUC-2008012024-105,,,,,,"Arecibo Christian Academy, Inc.",Educación,Arecibo,2002-10-18,Departamento de Hacienda,Puerto Rico,"Arecibo Christian Academy, Inc. Arecibo Puerto Rico",18.4763466,-66.752632,1
106,PR-OGSIFLUC-2008012024-106,,,,,,Arpegio Corp.,Arte y Cultura,Carolina,2013-08-22,Departamento de Hacienda,Puerto Rico,Arpegio Corp. Carolina Puerto Rico,18.3736316,-65.9630925,1
